ORI,YEAR,MRD,CLR,State,County,Agency
LA03000,2016,2,2,Louisiana,"La Salle, LA",La Salle County
AR02300,2010,2,0,Arkansas,"Faulkner, AR",Faulkner County
KYKSP02,2013,3,2,Kentucky,"Hopkins, KY",State Police Post 2
IL04600,2016,5,0,Illinois,"Kankakee, IL",Kankakee County
AL00208,2014,1,0,Alabama,"Mobile, AL",Mount Vernon
NC02502,2010,1,1,North Carolina,"Craven, NC",New Bern
FL04100,2012,18,12,Florida,"Manatee, FL",Manatee County
MD00100,2018,1,1,Maryland,"Allegany, MD",Allegany County
AL03800,2012,2,2,Alabama,"Houston, AL",Houston County
IN04501,2012,1,0,Indiana,"Lake, IN",Cedar Lake
OK05600,2019,2,0,Oklahoma,"Okmulgee, OK",Okmulgee County
TN06500,2011,1,1,Tennessee,"Morgan, TN",Morgan County
AZDI062,2015,3,0,Arizona,"Apache, AZ",Fort Apache Agency
PA04641,2015,2,2,Pennsylvania,"Montgomery, PA",Hatfield Township
OK04801,2018,1,1,Oklahoma,"Marshall, OK",Madill
MT00701,2018,2,2,Montana,"Cascade, MT",Great Falls
CO02802,2013,2,2,Colorado,"Huerfano, CO",La Veta
CA00106,2012,6,1,California,"Alameda, CA",Hayward
GA02507,2013,2,0,Georgia,"Chatham, GA",Thunderbolt
AL02500,2010,3,2,Alabama,"Cullman, AL",Cullman County
CA01302,2011,1,1,California,"Imperial, CA",Calexico
MS04300,2017,1,0,Mississippi,"Lincoln, MS",Lincoln County
NY04500,2010,0,1,New York,"Saratoga, NY",Saratoga County
PA05409,2017,1,0,Pennsylvania,"Schuylkill, PA",Schuylkill Haven
WI05400,2016,1,1,Wisconsin,"Rock, WI",Rock County
WI05503,2016,1,1,Wisconsin,"Rusk, WI",Ladysmith
NY00101,2015,5,3,New York,"Albany, NY",Albany
VA077SP,2014,1,0,Virginia,"Pulaski, VA",State Police: Pulaski County
IN04601,2013,1,1,Indiana,"La Porte, IN",La Porte
OK00700,2011,2,2,Oklahoma,"Bryan, OK",Bryan County
WI06700,2013,0,1,Wisconsin,"Washington, WI",Washington County
FL00601,2011,1,1,Florida,"Broward, FL",Dania
GA14500,2015,1,1,Georgia,"Upson, GA",Upson County
TX22700,2014,2,1,Texas,"Travis, TX",Travis County
WA01300,2013,1,1,Washington,"Grant, WA",Grant County
WA01800,2010,1,1,Washington,"Kitsap, WA",Kitsap County
WVWSP23,2017,1,1,West Virginia,"Logan, WV",State Police: Logan
CA00100,2018,7,4,California,"Alameda, CA",Alameda County
AR01800,2010,1,1,Arkansas,"Crittenden, AR",Crittenden County
GA11000,2018,1,0,Georgia,"Paulding, GA",Paulding County
VA08500,2016,1,0,Virginia,"Shenandoah, VA",Shenandoah County
TN09100,2019,2,2,Tennessee,"Wayne, TN",Wayne County
TN08600,2018,1,1,Tennessee,"Unicoi, TN",Unicoi County
NJ01316,2011,1,1,New Jersey,"Monmouth, NJ",Freehold Township
FL01316,2015,2,2,Florida,"Miami-Dade, FL",Hialeah Gardens
TX22012,2013,49,42,Texas,"Tarrant, TX",Fort Worth
MS03003,2018,3,2,Mississippi,"Jackson, MS",Pascagoula
KY02501,2016,1,1,Kentucky,"Clark, KY",Winchester
CA01013,2017,2,2,California,"Fresno, CA",Sanger
CA02705,2017,3,0,California,"Monterey, CA",King City
GA14701,2016,2,1,Georgia,"Walton, GA",Monroe
FL00512,2010,4,4,Florida,"Brevard, FL",Palm Bay
TX05000,2017,1,1,Texas,"Coryell, TX",Coryell County
NV00101,2017,1,1,Nevada,"Churchill, NV",Fallon
LA03501,2016,3,3,Louisiana,"Natchitoches, LA",Natchitoches
MS06202,2011,1,0,Mississippi,"Scott, MS",Morton
CA04111,2014,0,2,California,"San Mateo, CA",Pacifica
TX06139,2018,2,0,Texas,"Denton, TX",Northlake
LA03200,2012,1,2,Louisiana,"Livingston, LA",Livingston County
CA01952,2016,4,1,California,"Los Angeles, CA",Paramount
CA02800,2015,1,3,California,"Napa, CA",Napa County
MN01000,2014,1,1,Minnesota,"Carver, MN",Carver County
AZ01502,2013,4,3,Arizona,"La Paz, AZ",Colorado River Tribal
SD04902,2016,6,5,South Dakota,"Minnehaha, SD",Sioux Falls
FL01101,2017,1,0,Florida,"Collier, FL",Naples
DE00203,2012,14,7,Delaware,"New Castle, DE",New Castle County Police Department
IN00301,2013,1,0,Indiana,"Bartholomew, IN",Columbus
NM01901,2010,4,4,New Mexico,"Otero, NM",Alamogordo
IN02901,2011,1,1,Indiana,"Hamilton, IN",Carmel
FL06407,2015,1,1,Florida,"Volusia, FL",Holly Hill
CO04200,2012,1,1,Colorado,"Montezuma, CO",Montezuma County
TX01515,2012,1,1,Texas,"Bexar, TX",Windcrest
MI41141,2016,1,1,Michigan,"Kent, MI",Kent
NY03800,2011,1,1,New York,"Otsego, NY",Otsego County
NC00101,2012,2,1,North Carolina,"Alamance, NC",Burlington
NC07500,2018,1,1,North Carolina,"Polk, NC",Polk County
TX09403,2013,1,1,Texas,"Guadalupe, TX",Seguin
AR03200,2013,4,4,Arkansas,"Independence, AR",Independence County
ID01002,2017,2,1,Idaho,"Bonneville, ID",Idaho Falls
LA05901,2017,1,2,Louisiana,"Washington, LA",Bogalusa
MD01103,2012,1,1,Maryland,"Frederick, MD",Frederick
IL02214,2012,3,0,Illinois,"DuPage, IL",Naperville
ME00305,2014,1,1,Maine,"Cumberland, ME",Portland
NJ01209,2016,1,1,New Jersey,"Middlesex, NJ",Old Bridge Township
IL04906,2015,1,0,Illinois,"Lake, IL",Gurnee
MD01702,2012,2,2,Maryland,"Prince George's, MD",Bladensburg
WA01900,2011,1,1,Washington,"Kittitas, WA",Kittitas County
GA09201,2014,7,6,Georgia,"Lowndes, GA",Valdosta
IN333SP,2013,1,1,Indiana,"Henry, IN",State Police: Henry County
MI82793,2017,3,1,Michigan,"Wayne, MI",Van Buren Township
TX08901,2012,2,2,Texas,"Gonzales, TX",Gonzales
CA00708,2016,7,3,California,"Contra Costa, CA",Pittsburg
FL05022,2014,3,0,Florida,"Palm Beach, FL",Mangonia Park
MS04201,2014,1,0,Mississippi,"Leflore, MS",Greenwood
PA02102,2013,3,2,Pennsylvania,"Cumberland, PA",Carlisle
FL00621,2016,2,2,Florida,"Broward, FL",Margate
TX22020,2013,1,3,Texas,"Tarrant, TX",Mansfield
NJ02002,2013,1,1,New Jersey,"Union, NJ",Clark Township
TX09400,2010,1,3,Texas,"Guadalupe, TX",Guadalupe County
VA08100,2019,1,1,Virginia,"Rockbridge, VA",Rockbridge County
TX11001,2015,1,1,Texas,"Hockley, TX",Levelland
CA03026,2016,3,3,California,"Orange, CA",Irvine
CO04801,2017,1,1,Colorado,"Phillips, CO",Holyoke
IN02000,2012,3,1,Indiana,"Elkhart, IN",Elkhart County
NC04900,2018,1,1,North Carolina,"Iredell, NC",Iredell County
CA03903,2017,4,2,California,"San Joaquin, CA",Manteca
DE303SP,2012,4,4,Delaware,"Sussex, DE",State Police: Sussex County
CO00106,2010,1,1,Colorado,"Adams, CO",Northglenn
CA04401,2011,1,1,California,"Santa Cruz, CA",Capitola
